ln(t/MeV),ln(a)
76.8806953139430078181248973123729228973388671875,-8.132412674500905727342235596328778041405723526062538003807206373198557606294709
76.78031892569659440974796955869340543422422841888547380228832999148072016984007,-8.405186905612232576453448812930652209756669948329121078271159462179389573342224
76.67572471373204062180348925376886112505392059824516418455440446460372962707142,-8.978548277349631344317691284166455884671250021641500954833639833230272717537786
76.63896358729158785942225560777983121345544046005592291368437235250050046384968,-9.585663168474282872260579805918307120556667916040711573638672381665752775495806
76.63517034323443481882407855647877585379507157242438212415122576665246739107756,-9.722517900054548962188058923672215043391378279682694216894464063852023683061118
76.62713115030931346274994624479065476028148925601321460486654528677003399296709,-10.26663842968538872676814273009407977399447926787038387369823407290610800109143
76.62426280951878386556093657550918448263536687129237213867358290976890981499713,-10.86643909820334771837392184603996913869506531712784551482513639367007088745978
76.62397017340345287633006278115522182986088323972368023323813743973238567784802,-11.00119576372422760343336515567698904943248432461322380376274134787307715427067
76.62333368987926072295294006192586710143427114707189582675434111066403237528973,-11.55909820637909898591894213992409826901109934702531083388506656761354612080945
76.62310979093271012064942086188295823137064448517393779662548014066342093826543,-12.19823988135216058067855201670232638478364711417565069344323250444636400066848
76.62308866939397340730772214687851154481118087072802905826318595558385198161475,-12.33836586996150865739144434203570804200521136448146567537101664241566488647935
76.62305264363573189212733348893276627551972938188498281975329245820080198328907,-12.73946916780698453026729660098058028744692713352874280273845716348968414312441
76.62303344533313053739925009314709603022690749094048326990813867192984594702171,-13.27249181227105577502670923639423055961506457571066864759910883277643508416118
76.62302483595347498894565132435215337792447537670116826986922046469967260192642,-14.23112399034173808907480833095083937235735082757496216273649127164115916195037
76.62302360730611270025091757526169155443412026357500153039967033623594830543301,-15.11228550339357852389674585713568690682947499644035669977707500715382892807051
76.62302339807563467959985498485582031153030941359783443585427719682064412982017,-15.97493449124225342436343298544587284879245760990884430570956448822143521678723
76.62302336267407557209909933262685679041392363193322109876571340491705492448824,-16.73405077519734546518751806542140891915589776208032546267649146948996250658608
76.62302335491503942925507903244529949388269829939206268342282803630408142080969,-17.49376248844867088176304776600282163040712247218397639389417084565865998355628
76.62302335330693026455106419794118856628836467977223070306118837672622683716731,-18.16710838584505882914416388547905115453364784012551125613503088225004043955431
76.62302335290846030378305656402917117255905253156672996125322006799448592219741,-18.77736697229808080449910559548569357031626905121270742444846289764104738236734
76.62302335280068551430082365562469024024432311170715183072220969109794534101847,-19.29686973747611026974993132252443130763907386631305512972057249870562350142304
76.62302335278607340580993530791092459832623496447173556116706641172918547821176,-19.43915438077822791558051007879437498106167194543453232470547583933658649406323
76.62302335275254573797214767692057819470007756712118185992600145533006629115986,-20.14256544064203884881321893946700173209717636713332337722194510812543570006729
76.62302335274396102884747545297503805742688836950211176968864873192145420881329,-20.92123071038657631869483302946699431172917188089339898436300557649730483040053
76.62302335274226140414424826276881136599102249934397404823555843015235856092077,-21.59818663533816673447107196795282997192018691551430960309380713139540790755144
76.62302335274186427411610582039153993190013049185641030167839315126536103973174,-22.15444504233593203256654025966884471358895069862430322874205432500811162585431
76.62302335274174028108042802858800512555368714716090027251111131935920955012847,-22.66193161563464852779065123838032381257758021041947231972450022253315297397399
76.62302335274170750972276734634277441910925906508084261037273104889302057379681,-22.97470924232444153208142507648375226142447959807805852041481440381884530537311
76.62302335274167466805161334403969359365606235314336989728710513096053931007525,-23.99425094865190459390179092909112997132611390449982920903139945923933346541654
76.6230233527416713962958315629079504138298148864067260548613408141717796411659,-24.54363538185985732601043915875652194620333093422439084789581448206059298036032
76.62302335274167011277122842961752183855266363880650044601696623208416796774671,-25.31127574662411343181039480096429288906342287258371982057775440328264717036381
76.62302335274166984592116514971608380720206603196195986553317606703478612228131,-26.01940616902483773713472203441317780436784153536469401997747881811999559928544
76.62302335274166978566100944165169840393111617387527738694568974269862512678672,-26.62981274710787057294795386246053435842751093839721642570642088452793283721014
76.62302335274166976916878958628965584613437887294982847403262848876754184491038,-27.1606675383917875503897468813060527505948632196631561602794276642753780146771
76.62302335274166976349734304383041636150204745376379958027295159131459162760897,-27.68614799097664907628161537629029126593815339659333299555438471084014901820989
76.62302335274166976208983280199360787386432699899556620069543905870499743680587,-27.99587969665724637951102145721008626691182301105925984547336321575635536301606
76.62302335274166976064115763951492203246312534847979630432782664197190465431449,-29.06157508586580048124669586625094653181747205590079708014079797994240278234842
76.62302335274166976059633615255850642524776792436013452938558606556968177729729,-29.19240195606057333140577431728873049543370331806277245720675564497087364181153
76.62302335274166976049747090803895787864545336716624816143790998302455788389375,-29.73118671420333615883127730566178013827809490508120360566208433959055306064965
76.62302335274166976045670983778016804116154869352381143410109131553689671785727,-30.53235301597951954648064589218256483612288814539893292958309337978404259095557
76.62302335274166976044991547059164165483630062635505990877018366969449028064393,-31.07331140653507035988662514503982763041072580430251206522514696726522791448823
76.62302335274166976044830909061743381160866255800083139545353595919208538229975,-31.382500058424912107202608361395811172965569774199341543297284951210333661282
76.62302335274166976044661807805743231528886957959401404836092257646868369176923,-32.52600948079479056464129379142077528184800302226626527681179706389156579701649
76.62302335274166976044649225315004619374038787636158909938417379484496546036682,-33.06536904208965620206980624614787096451160660273666875441362020336261347436121
76.62302335274166976044644909736273004368147947988833539768402779860516710697562,-33.61321813902520947226843901216629239873758254519294787723803494312077857998136
76.62302335274166976044643437919776150416768095241130849360411458318067206455631,-34.18153851225699805263968986055361812362840789214115720481705574689711581286361
76.6230233527416697604464170532782409535095977757194589194880217340838088289307,-36.36046362085784466530019793653249906241693963748290645492232080990329797588776
76.62302335274166976044640612676166788982600560275433282413218828638880282949793,-36.36046362085784466530020258397658506064601261754646414399545639989366892520579
76.62302335274166976044629686159593725299008387310307187057385380943874283517016,-36.36046362085784466530024905841744504293674241538912041918425737663622988092486
76.62302335274166976044520420993863088463086657659046233499050903993814289189245,-36.36046362085784466530071380282604486584404011452362161681677482805989819760984
76.62302335274166976043427769336556720103869361146436697915706134493214345911206,-36.36046362085784466530536124691204309491698917666247816759271785501496286787825
